REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,RNWBIOBGDXX,BIOBGDXX,1,2037,1.0
GLOBAL,RNWBIOBGDXX,BIOBGDXX,1,2038,1.0
GLOBAL,RNWBIOBGDXX,BIOBGDXX,1,2039,1.0
GLOBAL,RNWBIOBGDXX,BIOBGDXX,1,2040,1.0
GLOBAL,RNWBIOBGDXX,BIOBGDXX,1,2041,1.0
GLOBAL,RNWBIOBGDXX,BIOBGDXX,1,2042,1.0
GLOBAL,RNWBIOBGDXX,BIOBGDXX,1,2043,1.0
GLOBAL,RNWBIOBGDXX,BIOBGDXX,1,2044,1.0
GLOBAL,RNWBIOBGDXX,BIOBGDXX,1,2045,1.0
GLOBAL,RNWBIOBGDXX,BIOBGDXX,1,2046,1.0
GLOBAL,RNWBIOBGDXX,BIOBGDXX,1,2047,1.0
GLOBAL,RNWBIOBGDXX,BIOBGDXX,1,2048,1.0
GLOBAL,RNWBIOBGDXX,BIOBGDXX,1,2049,1.0
GLOBAL,RNWBIOBGDXX,BIOBGDXX,1,2050,1.0
GLOBAL,RNWBIOINDEA,BIOINDEA,1,2023,1.0
GLOBAL,RNWBIOINDEA,BIOINDEA,1,2024,1.0
GLOBAL,RNWBIOINDEA,BIOINDEA,1,2025,1.0
GLOBAL,RNWBIOINDEA,BIOINDEA,1,2026,1.0
GLOBAL,RNWBIOINDEA,BIOINDEA,1,2027,1.0
GLOBAL,RNWBIOINDEA,BIOINDEA,1,2028,1.0
GLOBAL,RNWBIOINDEA,BIOINDEA,1,2029,1.0
GLOBAL,RNWBIOINDEA,BIOINDEA,1,2030,1.0
GLOBAL,RNWBIOINDEA,BIOINDEA,1,2031,1.0
GLOBAL,RNWBIOINDEA,BIOINDEA,1,2032,1.0
GLOBAL,RNWBIOINDEA,BIOINDEA,1,2033,1.0
GLOBAL,RNWBIOINDEA,BIOINDEA,1,2034,1.0
GLOBAL,RNWBIOINDEA,BIOINDEA,1,2035,1.0
GLOBAL,RNWBIOINDEA,BIOINDEA,1,2036,1.0
GLOBAL,RNWBIOINDEA,BIOINDEA,1,2037,1.0
GLOBAL,RNWBIOINDEA,BIOINDEA,1,2038,1.0
GLOBAL,RNWBIOINDEA,BIOINDEA,1,2039,1.0
GLOBAL,RNWBIOINDEA,BIOINDEA,1,2040,1.0
GLOBAL,RNWBIOINDEA,BIOINDEA,1,2041,1.0
GLOBAL,RNWBIOINDEA,BIOINDEA,1,2042,1.0
GLOBAL,RNWBIOINDEA,BIOINDEA,1,2043,1.0
GLOBAL,RNWBIOINDEA,BIOINDEA,1,2044,1.0
GLOBAL,RNWBIOINDEA,BIOINDEA,1,2045,1.0
GLOBAL,RNWBIOINDEA,BIOINDEA,1,2046,1.0
GLOBAL,RNWBIOINDEA,BIOINDEA,1,2047,1.0
GLOBAL,RNWBIOINDEA,BIOINDEA,1,2048,1.0
GLOBAL,RNWBIOINDEA,BIOINDEA,1,2049,1.0
GLOBAL,RNWBIOINDEA,BIOINDEA,1,2050,1.0
GLOBAL,RNWCSPBGDXX,CSPBGDXX,1,2023,1.0
GLOBAL,RNWCSPBGDXX,CSPBGDXX,1,2024,1.0
GLOBAL,RNWCSPBGDXX,CSPBGDXX,1,2025,1.0
GLOBAL,RNWCSPBGDXX,CSPBGDXX,1,2026,1.0
GLOBAL,RNWCSPBGDXX,CSPBGDXX,1,2027,1.0
GLOBAL,RNWCSPBGDXX,CSPBGDXX,1,2028,1.0
GLOBAL,RNWCSPBGDXX,CSPBGDXX,1,2029,1.0
GLOBAL,RNWCSPBGDXX,CSPBGDXX,1,2030,1.0
GLOBAL,RNWCSPBGDXX,CSPBGDXX,1,2031,1.0
GLOBAL,RNWCSPBGDXX,CSPBGDXX,1,2032,1.0
GLOBAL,RNWCSPBGDXX,CSPBGDXX,1,2033,1.0
GLOBAL,RNWCSPBGDXX,CSPBGDXX,1,2034,1.0
GLOBAL,RNWCSPBGDXX,CSPBGDXX,1,2035,1.0
GLOBAL,RNWCSPBGDXX,CSPBGDXX,1,2036,1.0
GLOBAL,RNWCSPBGDXX,CSPBGDXX,1,2037,1.0
GLOBAL,RNWCSPBGDXX,CSPBGDXX,1,2038,1.0
GLOBAL,RNWCSPBGDXX,CSPBGDXX,1,2039,1.0
GLOBAL,RNWCSPBGDXX,CSPBGDXX,1,2040,1.0
GLOBAL,RNWCSPBGDXX,CSPBGDXX,1,2041,1.0
GLOBAL,RNWCSPBGDXX,CSPBGDXX,1,2042,1.0
GLOBAL,RNWCSPBGDXX,CSPBGDXX,1,2043,1.0
GLOBAL,RNWCSPBGDXX,CSPBGDXX,1,2044,1.0
GLOBAL,RNWCSPBGDXX,CSPBGDXX,1,2045,1.0
GLOBAL,RNWCSPBGDXX,CSPBGDXX,1,2046,1.0
GLOBAL,RNWCSPBGDXX,CSPBGDXX,1,2047,1.0
GLOBAL,RNWCSPBGDXX,CSPBGDXX,1,2048,1.0
GLOBAL,RNWCSPBGDXX,CSPBGDXX,1,2049,1.0
GLOBAL,RNWCSPBGDXX,CSPBGDXX,1,2050,1.0
GLOBAL,RNWCSPINDEA,CSPINDEA,1,2023,1.0
GLOBAL,RNWCSPINDEA,CSPINDEA,1,2024,1.0
GLOBAL,RNWCSPINDEA,CSPINDEA,1,2025,1.0
GLOBAL,RNWCSPINDEA,CSPINDEA,1,2026,1.0
GLOBAL,RNWCSPINDEA,CSPINDEA,1,2027,1.0
GLOBAL,RNWCSPINDEA,CSPINDEA,1,2028,1.0
GLOBAL,RNWCSPINDEA,CSPINDEA,1,2029,1.0
GLOBAL,RNWCSPINDEA,CSPINDEA,1,2030,1.0
GLOBAL,RNWCSPINDEA,CSPINDEA,1,2031,1.0
GLOBAL,RNWCSPINDEA,CSPINDEA,1,2032,1.0
GLOBAL,RNWCSPINDEA,CSPINDEA,1,2033,1.0
GLOBAL,RNWCSPINDEA,CSPINDEA,1,2034,1.0
GLOBAL,RNWCSPINDEA,CSPINDEA,1,2035,1.0
GLOBAL,RNWCSPINDEA,CSPINDEA,1,2036,1.0
GLOBAL,RNWCSPINDEA,CSPINDEA,1,2037,1.0
GLOBAL,RNWCSPINDEA,CSPINDEA,1,2038,1.0
GLOBAL,RNWCSPINDEA,CSPINDEA,1,2039,1.0
GLOBAL,RNWCSPINDEA,CSPINDEA,1,2040,1.0
GLOBAL,RNWCSPINDEA,CSPINDEA,1,2041,1.0
GLOBAL,RNWCSPINDEA,CSPINDEA,1,2042,1.0
GLOBAL,RNWCSPINDEA,CSPINDEA,1,2043,1.0
GLOBAL,RNWCSPINDEA,CSPINDEA,1,2044,1.0
GLOBAL,RNWCSPINDEA,CSPINDEA,1,2045,1.0
GLOBAL,RNWCSPINDEA,CSPINDEA,1,2046,1.0
GLOBAL,RNWCSPINDEA,CSPINDEA,1,2047,1.0
GLOBAL,RNWCSPINDEA,CSPINDEA,1,2048,1.0
GLOBAL,RNWCSPINDEA,CSPINDEA,1,2049,1.0
GLOBAL,RNWCSPINDEA,CSPINDEA,1,2050,1.0
GLOBAL,RNWGEOBGDXX,GEOBGDXX,1,2023,1.0
GLOBAL,RNWGEOBGDXX,GEOBGDXX,1,2024,1.0
GLOBAL,RNWGEOBGDXX,GEOBGDXX,1,2025,1.0
GLOBAL,RNWGEOBGDXX,GEOBGDXX,1,2026,1.0
GLOBAL,RNWGEOBGDXX,GEOBGDXX,1,2027,1.0
GLOBAL,RNWGEOBGDXX,GEOBGDXX,1,2028,1.0
GLOBAL,RNWGEOBGDXX,GEOBGDXX,1,2029,1.0
GLOBAL,RNWGEOBGDXX,GEOBGDXX,1,2030,1.0
GLOBAL,RNWGEOBGDXX,GEOBGDXX,1,2031,1.0
GLOBAL,RNWGEOBGDXX,GEOBGDXX,1,2032,1.0
GLOBAL,RNWGEOBGDXX,GEOBGDXX,1,2033,1.0
GLOBAL,RNWGEOBGDXX,GEOBGDXX,1,2034,1.0
GLOBAL,RNWGEOBGDXX,GEOBGDXX,1,2035,1.0
GLOBAL,RNWGEOBGDXX,GEOBGDXX,1,2036,1.0
GLOBAL,RNWGEOBGDXX,GEOBGDXX,1,2037,1.0
GLOBAL,RNWGEOBGDXX,GEOBGDXX,1,2038,1.0
GLOBAL,RNWGEOBGDXX,GEOBGDXX,1,2039,1.0
GLOBAL,RNWGEOBGDXX,GEOBGDXX,1,2040,1.0
GLOBAL,RNWGEOBGDXX,GEOBGDXX,1,2041,1.0
GLOBAL,RNWGEOBGDXX,GEOBGDXX,1,2042,1.0
GLOBAL,RNWGEOBGDXX,GEOBGDXX,1,2043,1.0
GLOBAL,RNWGEOBGDXX,GEOBGDXX,1,2044,1.0
GLOBAL,RNWGEOBGDXX,GEOBGDXX,1,2045,1.0
GLOBAL,RNWGEOBGDXX,GEOBGDXX,1,2046,1.0
GLOBAL,RNWGEOBGDXX,GEOBGDXX,1,2047,1.0
GLOBAL,RNWGEOBGDXX,GEOBGDXX,1,2048,1.0
GLOBAL,RNWGEOBGDXX,GEOBGDXX,1,2049,1.0
GLOBAL,RNWGEOBGDXX,GEOBGDXX,1,2050,1.0
GLOBAL,RNWGEOINDEA,GEOINDEA,1,2023,1.0
GLOBAL,RNWGEOINDEA,GEOINDEA,1,2024,1.0
GLOBAL,RNWGEOINDEA,GEOINDEA,1,2025,1.0
GLOBAL,RNWGEOINDEA,GEOINDEA,1,2026,1.0
GLOBAL,RNWGEOINDEA,GEOINDEA,1,2027,1.0
GLOBAL,RNWGEOINDEA,GEOINDEA,1,2028,1.0
GLOBAL,RNWGEOINDEA,GEOINDEA,1,2029,1.0
GLOBAL,RNWGEOINDEA,GEOINDEA,1,2030,1.0
GLOBAL,RNWGEOINDEA,GEOINDEA,1,2031,1.0
GLOBAL,RNWGEOINDEA,GEOINDEA,1,2032,1.0
GLOBAL,RNWGEOINDEA,GEOINDEA,1,2033,1.0
GLOBAL,RNWGEOINDEA,GEOINDEA,1,2034,1.0
GLOBAL,RNWGEOINDEA,GEOINDEA,1,2035,1.0
GLOBAL,RNWGEOINDEA,GEOINDEA,1,2036,1.0
GLOBAL,RNWGEOINDEA,GEOINDEA,1,2037,1.0
GLOBAL,RNWGEOINDEA,GEOINDEA,1,2038,1.0
GLOBAL,RNWGEOINDEA,GEOINDEA,1,2039,1.0
GLOBAL,RNWGEOINDEA,GEOINDEA,1,2040,1.0
GLOBAL,RNWGEOINDEA,GEOINDEA,1,2041,1.0
GLOBAL,RNWGEOINDEA,GEOINDEA,1,2042,1.0
GLOBAL,RNWGEOINDEA,GEOINDEA,1,2043,1.0
GLOBAL,RNWGEOINDEA,GEOINDEA,1,2044,1.0
GLOBAL,RNWGEOINDEA,GEOINDEA,1,2045,1.0
GLOBAL,RNWGEOINDEA,GEOINDEA,1,2046,1.0
GLOBAL,RNWGEOINDEA,GEOINDEA,1,2047,1.0
GLOBAL,RNWGEOINDEA,GEOINDEA,1,2048,1.0
GLOBAL,RNWGEOINDEA,GEOINDEA,1,2049,1.0
GLOBAL,RNWGEOINDEA,GEOINDEA,1,2050,1.0
GLOBAL,RNWHYDBGDXX,HYDBGDXX,1,2023,1.0
GLOBAL,RNWHYDBGDXX,HYDBGDXX,1,2024,1.0
GLOBAL,RNWHYDBGDXX,HYDBGDXX,1,2025,1.0
GLOBAL,RNWHYDBGDXX,HYDBGDXX,1,2026,1.0
GLOBAL,RNWHYDBGDXX,HYDBGDXX,1,2027,1.0
GLOBAL,RNWHYDBGDXX,HYDBGDXX,1,2028,1.0
GLOBAL,RNWHYDBGDXX,HYDBGDXX,1,2029,1.0
GLOBAL,RNWHYDBGDXX,HYDBGDXX,1,2030,1.0
GLOBAL,RNWHYDBGDXX,HYDBGDXX,1,2031,1.0
GLOBAL,RNWHYDBGDXX,HYDBGDXX,1,2032,1.0
GLOBAL,RNWHYDBGDXX,HYDBGDXX,1,2033,1.0
GLOBAL,RNWHYDBGDXX,HYDBGDXX,1,2034,1.0
GLOBAL,RNWHYDBGDXX,HYDBGDXX,1,2035,1.0
GLOBAL,RNWHYDBGDXX,HYDBGDXX,1,2036,1.0
GLOBAL,RNWHYDBGDXX,HYDBGDXX,1,2037,1.0
GLOBAL,RNWHYDBGDXX,HYDBGDXX,1,2038,1.0
GLOBAL,RNWHYDBGDXX,HYDBGDXX,1,2039,1.0
GLOBAL,RNWHYDBGDXX,HYDBGDXX,1,2040,1.0
GLOBAL,RNWHYDBGDXX,HYDBGDXX,1,2041,1.0
GLOBAL,RNWHYDBGDXX,HYDBGDXX,1,2042,1.0
GLOBAL,RNWHYDBGDXX,HYDBGDXX,1,2043,1.0
GLOBAL,RNWHYDBGDXX,HYDBGDXX,1,2044,1.0
GLOBAL,RNWHYDBGDXX,HYDBGDXX,1,2045,1.0
GLOBAL,RNWHYDBGDXX,HYDBGDXX,1,2046,1.0
GLOBAL,RNWHYDBGDXX,HYDBGDXX,1,2047,1.0
GLOBAL,RNWHYDBGDXX,HYDBGDXX,1,2048,1.0
GLOBAL,RNWHYDBGDXX,HYDBGDXX,1,2049,1.0
GLOBAL,RNWHYDBGDXX,HYDBGDXX,1,2050,1.0
GLOBAL,RNWHYDINDEA,HYDINDEA,1,2023,1.0
GLOBAL,RNWHYDINDEA,HYDINDEA,1,2024,1.0
GLOBAL,RNWHYDINDEA,HYDINDEA,1,2025,1.0
GLOBAL,RNWHYDINDEA,HYDINDEA,1,2026,1.0
GLOBAL,RNWHYDINDEA,HYDINDEA,1,2027,1.0
GLOBAL,RNWHYDINDEA,HYDINDEA,1,2028,1.0
GLOBAL,RNWHYDINDEA,HYDINDEA,1,2029,1.0
GLOBAL,RNWHYDINDEA,HYDINDEA,1,2030,1.0
GLOBAL,RNWHYDINDEA,HYDINDEA,1,2031,1.0
GLOBAL,RNWHYDINDEA,HYDINDEA,1,2032,1.0
GLOBAL,RNWHYDINDEA,HYDINDEA,1,2033,1.0
GLOBAL,RNWHYDINDEA,HYDINDEA,1,2034,1.0
GLOBAL,RNWHYDINDEA,HYDINDEA,1,2035,1.0
GLOBAL,RNWHYDINDEA,HYDINDEA,1,2036,1.0
GLOBAL,RNWHYDINDEA,HYDINDEA,1,2037,1.0
GLOBAL,RNWHYDINDEA,HYDINDEA,1,2038,1.0
GLOBAL,RNWHYDINDEA,HYDINDEA,1,2039,1.0
GLOBAL,RNWHYDINDEA,HYDINDEA,1,2040,1.0
GLOBAL,RNWHYDINDEA,HYDINDEA,1,2041,1.0
GLOBAL,RNWHYDINDEA,HYDINDEA,1,2042,1.0
GLOBAL,RNWHYDINDEA,HYDINDEA,1,2043,1.0
GLOBAL,RNWHYDINDEA,HYDINDEA,1,2044,1.0
GLOBAL,RNWHYDINDEA,HYDINDEA,1,2045,1.0
GLOBAL,RNWHYDINDEA,HYDINDEA,1,2046,1.0
GLOBAL,RNWHYDINDEA,HYDINDEA,1,2047,1.0
GLOBAL,RNWHYDINDEA,HYDINDEA,1,2048,1.0
GLOBAL,RNWHYDINDEA,HYDINDEA,1,2049,1.0
GLOBAL,RNWHYDINDEA,HYDINDEA,1,2050,1.0
GLOBAL,RNWSPVBGDXX,SPVBGDXX,1,2023,1.0
GLOBAL,RNWSPVBGDXX,SPVBGDXX,1,2024,1.0
GLOBAL,RNWSPVBGDXX,SPVBGDXX,1,2025,1.0
GLOBAL,RNWSPVBGDXX,SPVBGDXX,1,2026,1.0
GLOBAL,RNWSPVBGDXX,SPVBGDXX,1,2027,1.0
GLOBAL,RNWSPVBGDXX,SPVBGDXX,1,2028,1.0
GLOBAL,RNWSPVBGDXX,SPVBGDXX,1,2029,1.0
GLOBAL,RNWSPVBGDXX,SPVBGDXX,1,2030,1.0
GLOBAL,RNWSPVBGDXX,SPVBGDXX,1,2031,1.0
GLOBAL,RNWSPVBGDXX,SPVBGDXX,1,2032,1.0
GLOBAL,RNWSPVBGDXX,SPVBGDXX,1,2033,1.0
GLOBAL,RNWSPVBGDXX,SPVBGDXX,1,2034,1.0
GLOBAL,RNWSPVBGDXX,SPVBGDXX,1,2035,1.0
GLOBAL,RNWSPVBGDXX,SPVBGDXX,1,2036,1.0
GLOBAL,RNWSPVBGDXX,SPVBGDXX,1,2037,1.0
GLOBAL,RNWSPVBGDXX,SPVBGDXX,1,2038,1.0
GLOBAL,RNWSPVBGDXX,SPVBGDXX,1,2039,1.0
GLOBAL,RNWSPVBGDXX,SPVBGDXX,1,2040,1.0
GLOBAL,RNWSPVBGDXX,SPVBGDXX,1,2041,1.0
GLOBAL,RNWSPVBGDXX,SPVBGDXX,1,2042,1.0
GLOBAL,RNWSPVBGDXX,SPVBGDXX,1,2043,1.0
GLOBAL,RNWSPVBGDXX,SPVBGDXX,1,2044,1.0
GLOBAL,RNWSPVBGDXX,SPVBGDXX,1,2045,1.0
GLOBAL,RNWSPVBGDXX,SPVBGDXX,1,2046,1.0
GLOBAL,RNWSPVBGDXX,SPVBGDXX,1,2047,1.0
GLOBAL,RNWSPVBGDXX,SPVBGDXX,1,2048,1.0
GLOBAL,RNWSPVBGDXX,SPVBGDXX,1,2049,1.0
GLOBAL,RNWSPVBGDXX,SPVBGDXX,1,2050,1.0
GLOBAL,RNWSPVINDEA,SPVINDEA,1,2023,1.0
GLOBAL,RNWSPVINDEA,SPVINDEA,1,2024,1.0
GLOBAL,RNWSPVINDEA,SPVINDEA,1,2025,1.0
GLOBAL,RNWSPVINDEA,SPVINDEA,1,2026,1.0
GLOBAL,RNWSPVINDEA,SPVINDEA,1,2027,1.0
GLOBAL,RNWSPVINDEA,SPVINDEA,1,2028,1.0
GLOBAL,RNWSPVINDEA,SPVINDEA,1,2029,1.0
GLOBAL,RNWSPVINDEA,SPVINDEA,1,2030,1.0
GLOBAL,RNWSPVINDEA,SPVINDEA,1,2031,1.0
GLOBAL,RNWSPVINDEA,SPVINDEA,1,2032,1.0
GLOBAL,RNWSPVINDEA,SPVINDEA,1,2033,1.0
GLOBAL,RNWSPVINDEA,SPVINDEA,1,2034,1.0
GLOBAL,RNWSPVINDEA,SPVINDEA,1,2035,1.0
GLOBAL,RNWSPVINDEA,SPVINDEA,1,2036,1.0
GLOBAL,RNWSPVINDEA,SPVINDEA,1,2037,1.0
GLOBAL,RNWSPVINDEA,SPVINDEA,1,2038,1.0
GLOBAL,RNWSPVINDEA,SPVINDEA,1,2039,1.0
GLOBAL,RNWSPVINDEA,SPVINDEA,1,2040,1.0
GLOBAL,RNWSPVINDEA,SPVINDEA,1,2041,1.0
GLOBAL,RNWSPVINDEA,SPVINDEA,1,2042,1.0
GLOBAL,RNWSPVINDEA,SPVINDEA,1,2043,1.0
GLOBAL,RNWSPVINDEA,SPVINDEA,1,2044,1.0
GLOBAL,RNWSPVINDEA,SPVINDEA,1,2045,1.0
GLOBAL,RNWSPVINDEA,SPVINDEA,1,2046,1.0
GLOBAL,RNWSPVINDEA,SPVINDEA,1,2047,1.0
GLOBAL,RNWSPVINDEA,SPVINDEA,1,2048,1.0
GLOBAL,RNWSPVINDEA,SPVINDEA,1,2049,1.0
GLOBAL,RNWSPVINDEA,SPVINDEA,1,2050,1.0
GLOBAL,RNWWASBGDXX,WASBGDXX,1,2023,1.0
GLOBAL,RNWWASBGDXX,WASBGDXX,1,2024,1.0
GLOBAL,RNWWASBGDXX,WASBGDXX,1,2025,1.0
GLOBAL,RNWWASBGDXX,WASBGDXX,1,2026,1.0
GLOBAL,RNWWASBGDXX,WASBGDXX,1,2027,1.0
GLOBAL,RNWWASBGDXX,WASBGDXX,1,2028,1.0
GLOBAL,RNWWASBGDXX,WASBGDXX,1,2029,1.0
GLOBAL,RNWWASBGDXX,WASBGDXX,1,2030,1.0
GLOBAL,RNWWASBGDXX,WASBGDXX,1,2031,1.0
GLOBAL,RNWWASBGDXX,WASBGDXX,1,2032,1.0
GLOBAL,RNWWASBGDXX,WASBGDXX,1,2033,1.0
GLOBAL,RNWWASBGDXX,WASBGDXX,1,2034,1.0
GLOBAL,RNWWASBGDXX,WASBGDXX,1,2035,1.0
GLOBAL,RNWWASBGDXX,WASBGDXX,1,2036,1.0
GLOBAL,RNWWASBGDXX,WASBGDXX,1,2037,1.0
GLOBAL,RNWWASBGDXX,WASBGDXX,1,2038,1.0
GLOBAL,RNWWASBGDXX,WASBGDXX,1,2039,1.0
GLOBAL,RNWWASBGDXX,WASBGDXX,1,2040,1.0
GLOBAL,RNWWASBGDXX,WASBGDXX,1,2041,1.0
GLOBAL,RNWWASBGDXX,WASBGDXX,1,2042,1.0
GLOBAL,RNWWASBGDXX,WASBGDXX,1,2043,1.0
GLOBAL,RNWWASBGDXX,WASBGDXX,1,2044,1.0
GLOBAL,RNWWASBGDXX,WASBGDXX,1,2045,1.0
GLOBAL,RNWWASBGDXX,WASBGDXX,1,2046,1.0
GLOBAL,RNWWASBGDXX,WASBGDXX,1,2047,1.0
GLOBAL,RNWWASBGDXX,WASBGDXX,1,2048,1.0
GLOBAL,RNWWASBGDXX,WASBGDXX,1,2049,1.0
GLOBAL,RNWWASBGDXX,WASBGDXX,1,2050,1.0
GLOBAL,RNWWASINDEA,WASINDEA,1,2023,1.0
GLOBAL,RNWWASINDEA,WASINDEA,1,2024,1.0
GLOBAL,RNWWASINDEA,WASINDEA,1,2025,1.0
GLOBAL,RNWWASINDEA,WASINDEA,1,2026,1.0
GLOBAL,RNWWASINDEA,WASINDEA,1,2027,1.0
GLOBAL,RNWWASINDEA,WASINDEA,1,2028,1.0
GLOBAL,RNWWASINDEA,WASINDEA,1,2029,1.0
GLOBAL,RNWWASINDEA,WASINDEA,1,2030,1.0
GLOBAL,RNWWASINDEA,WASINDEA,1,2031,1.0
GLOBAL,RNWWASINDEA,WASINDEA,1,2032,1.0
GLOBAL,RNWWASINDEA,WASINDEA,1,2033,1.0
GLOBAL,RNWWASINDEA,WASINDEA,1,2034,1.0
GLOBAL,RNWWASINDEA,WASINDEA,1,2035,1.0
GLOBAL,RNWWASINDEA,WASINDEA,1,2036,1.0
GLOBAL,RNWWASINDEA,WASINDEA,1,2037,1.0
GLOBAL,RNWWASINDEA,WASINDEA,1,2038,1.0
GLOBAL,RNWWASINDEA,WASINDEA,1,2039,1.0
GLOBAL,RNWWASINDEA,WASINDEA,1,2040,1.0
GLOBAL,RNWWASINDEA,WASINDEA,1,2041,1.0
GLOBAL,RNWWASINDEA,WASINDEA,1,2042,1.0
GLOBAL,RNWWASINDEA,WASINDEA,1,2043,1.0
GLOBAL,RNWWASINDEA,WASINDEA,1,2044,1.0
GLOBAL,RNWWASINDEA,WASINDEA,1,2045,1.0
GLOBAL,RNWWASINDEA,WASINDEA,1,2046,1.0
GLOBAL,RNWWASINDEA,WASINDEA,1,2047,1.0
GLOBAL,RNWWASINDEA,WASINDEA,1,2048,1.0
GLOBAL,RNWWASINDEA,WASINDEA,1,2049,1.0
GLOBAL,RNWWASINDEA,WASINDEA,1,2050,1.0
GLOBAL,RNWWAVBGDXX,WAVBGDXX,1,2023,1.0
GLOBAL,RNWWAVBGDXX,WAVBGDXX,1,2024,1.0
GLOBAL,RNWWAVBGDXX,WAVBGDXX,1,2025,1.0
GLOBAL,RNWWAVBGDXX,WAVBGDXX,1,2026,1.0
GLOBAL,RNWWAVBGDXX,WAVBGDXX,1,2027,1.0
GLOBAL,RNWWAVBGDXX,WAVBGDXX,1,2028,1.0
GLOBAL,RNWWAVBGDXX,WAVBGDXX,1,2029,1.0
GLOBAL,RNWWAVBGDXX,WAVBGDXX,1,2030,1.0
GLOBAL,RNWWAVBGDXX,WAVBGDXX,1,2031,1.0
GLOBAL,RNWWAVBGDXX,WAVBGDXX,1,2032,1.0
GLOBAL,RNWWAVBGDXX,WAVBGDXX,1,2033,1.0
GLOBAL,RNWWAVBGDXX,WAVBGDXX,1,2034,1.0
GLOBAL,RNWWAVBGDXX,WAVBGDXX,1,2035,1.0
GLOBAL,RNWWAVBGDXX,WAVBGDXX,1,2036,1.0
GLOBAL,RNWWAVBGDXX,WAVBGDXX,1,2037,1.0
GLOBAL,RNWWAVBGDXX,WAVBGDXX,1,2038,1.0
GLOBAL,RNWWAVBGDXX,WAVBGDXX,1,2039,1.0
GLOBAL,RNWWAVBGDXX,WAVBGDXX,1,2040,1.0
GLOBAL,RNWWAVBGDXX,WAVBGDXX,1,2041,1.0
GLOBAL,RNWWAVBGDXX,WAVBGDXX,1,2042,1.0
GLOBAL,RNWWAVBGDXX,WAVBGDXX,1,2043,1.0
GLOBAL,RNWWAVBGDXX,WAVBGDXX,1,2044,1.0
GLOBAL,RNWWAVBGDXX,WAVBGDXX,1,2045,1.0
GLOBAL,RNWWAVBGDXX,WAVBGDXX,1,2046,1.0
GLOBAL,RNWWAVBGDXX,WAVBGDXX,1,2047,1.0
GLOBAL,RNWWAVBGDXX,WAVBGDXX,1,2048,1.0
GLOBAL,RNWWAVBGDXX,WAVBGDXX,1,2049,1.0
GLOBAL,RNWWAVBGDXX,WAVBGDXX,1,2050,1.0
GLOBAL,RNWWAVINDEA,WAVINDEA,1,2023,1.0
GLOBAL,RNWWAVINDEA,WAVINDEA,1,2024,1.0
GLOBAL,RNWWAVINDEA,WAVINDEA,1,2025,1.0
GLOBAL,RNWWAVINDEA,WAVINDEA,1,2026,1.0
GLOBAL,RNWWAVINDEA,WAVINDEA,1,2027,1.0
GLOBAL,RNWWAVINDEA,WAVINDEA,1,2028,1.0
GLOBAL,RNWWAVINDEA,WAVINDEA,1,2029,1.0
GLOBAL,RNWWAVINDEA,WAVINDEA,1,2030,1.0
GLOBAL,RNWWAVINDEA,WAVINDEA,1,2031,1.0
GLOBAL,RNWWAVINDEA,WAVINDEA,1,2032,1.0
GLOBAL,RNWWAVINDEA,WAVINDEA,1,2033,1.0
GLOBAL,RNWWAVINDEA,WAVINDEA,1,2034,1.0
GLOBAL,RNWWAVINDEA,WAVINDEA,1,2035,1.0
GLOBAL,RNWWAVINDEA,WAVINDEA,1,2036,1.0
GLOBAL,RNWWAVINDEA,WAVINDEA,1,2037,1.0
GLOBAL,RNWWAVINDEA,WAVINDEA,1,2038,1.0
GLOBAL,RNWWAVINDEA,WAVINDEA,1,2039,1.0
GLOBAL,RNWWAVINDEA,WAVINDEA,1,2040,1.0
GLOBAL,RNWWAVINDEA,WAVINDEA,1,2041,1.0
GLOBAL,RNWWAVINDEA,WAVINDEA,1,2042,1.0
GLOBAL,RNWWAVINDEA,WAVINDEA,1,2043,1.0
GLOBAL,RNWWAVINDEA,WAVINDEA,1,2044,1.0
GLOBAL,RNWWAVINDEA,WAVINDEA,1,2045,1.0
GLOBAL,RNWWAVINDEA,WAVINDEA,1,2046,1.0
GLOBAL,RNWWAVINDEA,WAVINDEA,1,2047,1.0
GLOBAL,RNWWAVINDEA,WAVINDEA,1,2048,1.0
GLOBAL,RNWWAVINDEA,WAVINDEA,1,2049,1.0
GLOBAL,RNWWAVINDEA,WAVINDEA,1,2050,1.0
GLOBAL,RNWWOFBGDXX,WOFBGDXX,1,2023,1.0
GLOBAL,RNWWOFBGDXX,WOFBGDXX,1,2024,1.0
GLOBAL,RNWWOFBGDXX,WOFBGDXX,1,2025,1.0
GLOBAL,RNWWOFBGDXX,WOFBGDXX,1,2026,1.0
GLOBAL,RNWWOFBGDXX,WOFBGDXX,1,2027,1.0
GLOBAL,RNWWOFBGDXX,WOFBGDXX,1,2028,1.0
GLOBAL,RNWWOFBGDXX,WOFBGDXX,1,2029,1.0
GLOBAL,RNWWOFBGDXX,WOFBGDXX,1,2030,1.0
GLOBAL,RNWWOFBGDXX,WOFBGDXX,1,2031,1.0
GLOBAL,RNWWOFBGDXX,WOFBGDXX,1,2032,1.0
GLOBAL,RNWWOFBGDXX,WOFBGDXX,1,2033,1.0
GLOBAL,RNWWOFBGDXX,WOFBGDXX,1,2034,1.0
